Country,Continent,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,BMI,Hepatitis_B,Measles,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Afghanistan,Asia,Asia,2000,90.5,129.2,310.8305,0.02,21.7,62,12,24,24,0.02,148,20.78,2.3,2.5,2.2,0,1,55.8
Solomon Islands,Oceania,Oceania,2000,25.6,30.7,228.169,0.71,24.9,81,65,88,86,0.17,1939,0.41,1.4,1.4,4.6,0,1,67.4
Honduras,Americas,Central America and Caribbean,2000,30.3,37,171.706,2.47,24.8,93,83,88,94,0.53,1790,6.57,2.8,2.7,4.3,0,1,70.7
Costa Rica,Americas,Central America and Caribbean,2000,11.1,13.1,98.9985,4.24,25.8,89,86,80,88,0.13,7678,3.96,2.4,2.3,8,0,1,77.5
Singapore,Asia,Asia,2000,3,3.9,80.151,2.02,23.4,97,98,98,98,0.14,34891,4.03,2.1,2,8.9,0,1,78
"Iran, Islamic Rep.",Asia,Middle East,2000,29.7,36.2,151.603,0.012,25,99,65,99,99,0.08,3923,65.62,7.8,7.9,6.2,0,1,70.2
Vanuatu,Oceania,Oceania,2000,23.9,28.5,181.1765,0.82,25.4,70,65,67,71,0.17,2837,0.18,1.7,1.7,6.5,0,1,67.4
United States,Americas,North America,2000,7.1,8.4,113.6425,8.3,27.5,90,86,90,94,0.13,48746,282.16,0.8,0.7,12.7,1,0,76.6
Colombia,Americas,South America,2000,21.2,25.1,170.6395,4.52,24.8,78,84,82,79,0.26,3962,39.63,2.6,2.3,6.5,0,1,72.9
Uzbekistan,Asia,Asia,2000,50.8,60.7,191.823,3.03,24.8,99,98,99,99,0.02,1277,24.65,3.4,3.4,9.1,0,1,67.2
Cyprus,Asia,European Union,2000,5.6,6.5,69.0645,9.56,26.3,89,91,97,97,0.03,22382,0.94,0.9,1,10,1,0,78
"Bahamas, The",Americas,Central America and Caribbean,2000,13.9,16.3,190.144,11.93,26.7,90,83,91,99,1,35794,0.3,2.7,2.6,10.9,0,1,71.9
